Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
UYK55519,Botrytis cinerea hypovirus 4,,MN617171,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2022-10-19,BCS17_DN134,Thetahypovirus botrytidis,Thetahypovirus,Hypoviridae,ssRNA(+),537,GenBank,,,1,ORFC,Spain,Spain,,Botrytis cinerea,,2018,,,ORFC [Botrytis cinerea hypovirus 4]
QJT73706,Botrytis cinerea hypovirus 2,,MN617169,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2021-04-08,BCS3_DN9124,Alphahypovirus botrytidis,Alphahypovirus,Hypoviridae,ssRNA(+),4199,GenBank,,,1,polyprotein,Spain,Spain,,Botrytis cinerea,,2018,,,polyprotein [Botrytis cinerea hypovirus 2]
QJT73707,Botrytis cinerea hypovirus 3,,MN617170,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2021-04-08,BCI1_3,Botrytis cinerea hypovirus 3,Hypovirus,Hypoviridae,ssRNA(+),3042,GenBank,,,1,polyprotein,Italy,Italy,,Botrytis cinerea,,2018,,,polyprotein [Botrytis cinerea hypovirus 3]
QJT73708,Botrytis cinerea hypovirus 4,,MN617171,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2021-04-08,BCS17_DN134,Thetahypovirus botrytidis,Thetahypovirus,Hypoviridae,ssRNA(+),1023,GenBank,,,1,ORFB,Spain,Spain,,Botrytis cinerea,,2018,,,ORFB [Botrytis cinerea hypovirus 4]
QJT73709,Botrytis cinerea hypovirus 4,,MN617171,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2021-04-08,BCS17_DN134,Thetahypovirus botrytidis,Thetahypovirus,Hypoviridae,ssRNA(+),3345,GenBank,,,1,ORFA,Spain,Spain,,Botrytis cinerea,,2018,,,ORFA [Botrytis cinerea hypovirus 4]
QJT73714,Botrytis cinerea fusarivirus 3,,MN617762,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2021-04-08,BCS15_DN2871,Betafusarivirus hispaniae,Betafusarivirus,Fusariviridae,ssRNA,1657,GenBank,,,1,RNA-dependent RNA polymerase,Spain,Spain,,Botrytis cinerea,,2018,,,RNA-dependent RNA polymerase [Botrytis cinerea fusarivirus 3]
QJT73715,Botrytis cinerea fusarivirus 3,,MN617762,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2021-04-08,BCS15_DN2871,Betafusarivirus hispaniae,Betafusarivirus,Fusariviridae,ssRNA,704,GenBank,,,1,hypothetical protein,Spain,Spain,,Botrytis cinerea,,2018,,,hypothetical protein [Botrytis cinerea fusarivirus 3]
QJT73716,Botrytis cinerea fusarivirus 4,,MN617763,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2021-04-08,BCI12_DN9205,Betafusarivirus iberiae,Betafusarivirus,Fusariviridae,ssRNA,1657,GenBank,,,1,RNA-dependent RNA polymerase,Italy,Italy,,Botrytis cinerea,,2018,,,RNA-dependent RNA polymerase [Botrytis cinerea fusarivirus 4]
QJT73717,Botrytis cinerea fusarivirus 4,,MN617763,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2021-04-08,BCI12_DN9205,Betafusarivirus iberiae,Betafusarivirus,Fusariviridae,ssRNA,692,GenBank,,,1,hypothetical protein,Italy,Italy,,Botrytis cinerea,,2018,,,hypothetical protein [Botrytis cinerea fusarivirus 4]
QJT73718,Botrytis cinerea fusarivirus 5,,MN617764,,"Ruiz-Padilla,A., Rodriguez-Romero,J., Gomez-Cid,I., Pacifico,D., Ayllon,M.A., Chiapello,M., Turina,M.",2021-04-08,BCS3_DN2128,Alphafusarivirus botrytidis,Alphafusarivirus,Fusariviridae,ssRNA,494,GenBank,,,1,hypothetical protein,Spain,Spain,,Botrytis cinerea,,2018,,,hypothetical protein [Botrytis cinerea fusarivirus 5]
