Accession,Organism_Name,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
UPH33984,Cordyceps chanhua alternavirus 1,,OK481552,,"Zhang,Y., Shi,N., Wang,P., Zhu,Q., Yang,G., Huang,B.",2022-04-26,,Alternavirus cordycipitae,Alternavirus,Alternaviridae,dsRNA,1127,GenBank,,dsRNA1,1,RNA-dependent RNA polymerase,China: Anhui Province,China,,Cordyceps chanhua,,2012-07-27,,,RNA-dependent RNA polymerase [Cordyceps chanhua alternavirus 1]
UPH33985,Cordyceps chanhua alternavirus 1,,OK481553,,"Zhang,Y., Shi,N., Wang,P., Zhu,Q., Yang,G., Huang,B.",2022-04-26,,Alternavirus cordycipitae,Alternavirus,Alternaviridae,dsRNA,831,GenBank,,dsRNA2,1,hypothetical protein 1,China: Anhui Province,China,,Cordyceps chanhua,,2012-07-27,,,hypothetical protein 1 [Cordyceps chanhua alternavirus 1]
UPH33986,Cordyceps chanhua alternavirus 1,,OK481554,,"Zhang,Y., Shi,N., Wang,P., Zhu,Q., Yang,G., Huang,B.",2022-04-26,,Alternavirus cordycipitae,Alternavirus,Alternaviridae,dsRNA,731,GenBank,,dsRNA3,1,hypothetical protein 2,China: Anhui Province,China,,Cordyceps chanhua,,2012-07-27,,,hypothetical protein 2 [Cordyceps chanhua alternavirus 1]
BDB32799,Cryphonectria carpinicola fusagravirus 1,,LC651180,,"Liu,Y.C., Linder-Basso,D., Hillman,B.I., Kaneko,S., Milgroom,M.G., Dynek,J.N., Hisano,S., Suzuki,N., Das,S.",2021-11-03,JS13,Cryphonectria carpinicola fusagravirus 1,,,dsRNA,1462,GenBank,,,2,hypothetical protein,"Japan: Kyoto, Jise",Japan,,Cryphonectria carpinicola,,1998,,,hypothetical protein [Cryphonectria carpinicola fusagravirus 1]
BDB32800,Cryphonectria carpinicola fusagravirus 1,,LC651180,,"Liu,Y.C., Linder-Basso,D., Hillman,B.I., Kaneko,S., Milgroom,M.G., Dynek,J.N., Hisano,S., Suzuki,N., Das,S.",2021-11-03,JS13,Cryphonectria carpinicola fusagravirus 1,,,dsRNA,1319,GenBank,,,2,putative RNA-dependent RNA polymerase,"Japan: Kyoto, Jise",Japan,,Cryphonectria carpinicola,,1998,,,putative RNA-dependent RNA polymerase [Cryphonectria carpinicola fusagravirus 1]
UDM59940,Cryphonectria naterciae fusagravirus 1,,MZ736512,,"Cornejo,C., Hisano,S., Braganca,H., Suzuki,N., Rigling,D.",2021-10-31,M10544,Cryphonectria naterciae fusagravirus 1,,,dsRNA,1770,GenBank,,,,putative structural/gag protein,Portugal,Portugal,,Cryphonectria naterciae,,2005-10-05,,,putative structural/gag protein [Cryphonectria naterciae fusagravirus 1]
UDM59941,Cryphonectria naterciae fusagravirus 1,,MZ736512,,"Cornejo,C., Hisano,S., Braganca,H., Suzuki,N., Rigling,D.",2021-10-31,M10544,Cryphonectria naterciae fusagravirus 1,,,dsRNA,1223,GenBank,,,,RNA-dependent RNA polymerase,Portugal,Portugal,,Cryphonectria naterciae,,2005-10-05,,,RNA-dependent RNA polymerase [Cryphonectria naterciae fusagravirus 1]
UBZ25889,Neofusicoccum parvum victorivirus 3,,MZ868719,,"Khan,H.A., Sato,Y., Kondo,H., Jamal,A., Bhatti,M.F., Suzuki,N.",2021-10-11,NpVV3,Neofusicoccum parvum victorivirus 3,Victorivirus,Totiviridae,dsRNA,789,GenBank,,,1,coat protein,Pakistan,Pakistan,,Neofusicoccum parvum,,2018,,,coat protein [Neofusicoccum parvum victorivirus 3]
UBZ25890,Neofusicoccum parvum victorivirus 3,,MZ868719,,"Khan,H.A., Sato,Y., Kondo,H., Jamal,A., Bhatti,M.F., Suzuki,N.",2021-10-11,NpVV3,Neofusicoccum parvum victorivirus 3,Victorivirus,Totiviridae,dsRNA,839,GenBank,,,1,RNA-dependent RNA polymerase,Pakistan,Pakistan,,Neofusicoccum parvum,,2018,,,RNA-dependent RNA polymerase [Neofusicoccum parvum victorivirus 3]
QYY49562,Fusarium oxysporum alternavirus 1,,MT659125,,"Wen,C., Wan,X., Zhang,Y., Du,H., Wei,C., Zhong,R., Zhang,H., Shi,Y., Xie,J., Fu,Y., Zhao,Y.",2021-08-21,BH19,Alternavirus foxispori,Alternavirus,Alternaviridae,dsRNA,918,GenBank,,,1,RdRp,China,China,,Fusarium oxysporum,,2019-03,,,RdRp [Fusarium oxysporum alternavirus 1]
QYY49563,Fusarium oxysporum alternavirus 1,,MT659126,,"Wen,C., Wan,X., Zhang,Y., Du,H., Wei,C., Zhong,R., Zhang,H., Shi,Y., Xie,J., Fu,Y., Zhao,Y.",2021-08-21,BH19,Alternavirus foxispori,Alternavirus,Alternaviridae,dsRNA,840,GenBank,,,1,hypothetical protein,China,China,,Fusarium oxysporum,,2019-03,,,hypothetical protein [Fusarium oxysporum alternavirus 1]
QYY49564,Fusarium oxysporum alternavirus 1,,MT659127,,"Wen,C., Wan,X., Zhang,Y., Du,H., Wei,C., Zhong,R., Zhang,H., Shi,Y., Xie,J., Fu,Y., Zhao,Y.",2021-08-21,BH19,Alternavirus foxispori,Alternavirus,Alternaviridae,dsRNA,729,GenBank,,,1,hypothetical protein,China,China,,Fusarium oxysporum,,2019-03,,,hypothetical protein [Fusarium oxysporum alternavirus 1]
QYY49565,Fusarium oxysporum alternavirus 1,,MT659128,,"Wen,C., Wan,X., Zhang,Y., Du,H., Wei,C., Zhong,R., Zhang,H., Shi,Y., Xie,J., Fu,Y., Zhao,Y.",2021-08-21,BH19,Alternavirus foxispori,Alternavirus,Alternaviridae,dsRNA,388,GenBank,,,1,hypothetical protein,China,China,,Fusarium oxysporum,,2019-03,,,hypothetical protein [Fusarium oxysporum alternavirus 1]
BCT98154,Pythium ultimum RNA virus 2,,LC622069,,"Fukunishi,M., Sasai,S., Tojo,M., Mochizuki,T.",2021-08-19,,Pythium ultimum RNA virus 2,,,RNA,1565,GenBank,,,,CP-RdRp fusion protein,Japan,Japan,,Globisporangium ultimum,,,,,CP-RdRp fusion protein [Pythium ultimum RNA virus 2]
BCT98155,Pythium ultimum RNA virus 2,,LC622069,,"Fukunishi,M., Sasai,S., Tojo,M., Mochizuki,T.",2021-08-19,,Pythium ultimum RNA virus 2,,,RNA,739,GenBank,,,,putative coat protein,Japan,Japan,,Globisporangium ultimum,,,,,putative coat protein [Pythium ultimum RNA virus 2]
QZA60158,Cyclopterus lumpus toti-like virus,,MW811138,,"Sandlund,L., Mor,S.K., Singh,V.K., Padhi,S.K., Phelps,N.B.D., Nylund,S., Mikalsen,A.B., Okland,A.L.",2021-08-17,,Cyclopterus lumpus toti-like virus,,Totiviridae,dsRNA,828,GenBank,,,1,capsid protein,,,,Cyclopterus lumpus,,2018,,,capsid protein [Cyclopterus lumpus toti-like virus]
QZA60159,Cyclopterus lumpus toti-like virus,,MW811138,,"Sandlund,L., Mor,S.K., Singh,V.K., Padhi,S.K., Phelps,N.B.D., Nylund,S., Mikalsen,A.B., Okland,A.L.",2021-08-17,,Cyclopterus lumpus toti-like virus,,Totiviridae,dsRNA,1557,GenBank,,,1,putative polyprotein,,,,Cyclopterus lumpus,,2018,,,putative polyprotein [Cyclopterus lumpus toti-like virus]
QYI86730,Cyclopterus lumpus toti-like virus,,MW811138,,"Sandlund,L., Mor,S.K., Singh,V.K., Padhi,S.K., Phelps,N.B.D., Nylund,S., Mikalsen,A.B., Okland,A.L.",2021-08-08,,Cyclopterus lumpus toti-like virus,,Totiviridae,dsRNA,90,GenBank,,,1,ORF3,,,,Cyclopterus lumpus,,2018,,,ORF3 [Cyclopterus lumpus toti-like virus]
QYI86731,Cyclopterus lumpus toti-like virus,,MW811138,,"Sandlund,L., Mor,S.K., Singh,V.K., Padhi,S.K., Phelps,N.B.D., Nylund,S., Mikalsen,A.B., Okland,A.L.",2021-08-08,,Cyclopterus lumpus toti-like virus,,Totiviridae,dsRNA,118,GenBank,,,1,ORF4,,,,Cyclopterus lumpus,,2018,,,ORF4 [Cyclopterus lumpus toti-like virus]
QYI86732,Cyclopterus lumpus toti-like virus,,MW811138,,"Sandlund,L., Mor,S.K., Singh,V.K., Padhi,S.K., Phelps,N.B.D., Nylund,S., Mikalsen,A.B., Okland,A.L.",2021-08-08,,Cyclopterus lumpus toti-like virus,,Totiviridae,dsRNA,112,GenBank,,,1,ORF5,,,,Cyclopterus lumpus,,2018,,,ORF5 [Cyclopterus lumpus toti-like virus]
QXJ19453,Common carp toti-like virus 1,,MW893686,,"Sandlund,L., Mor,S.K., Singh,V.K., Padhi,S.K., Phelps,N.B.D., Nylund,S., Mikalsen,A.B., Padhi,S., Singh,V.",2021-07-13,CCTLV-1/USA/MN/2018,Common carp toti-like virus 1,,Totiviridae,dsRNA,631,GenBank,,,,capsid,USA,USA,,Cyprinus carpio,"kidney, abdominal cavity",2018-07,,,capsid [Common carp toti-like virus 1]
QXJ19454,Common carp toti-like virus 1,,MW893686,,"Sandlund,L., Mor,S.K., Singh,V.K., Padhi,S.K., Phelps,N.B.D., Nylund,S., Mikalsen,A.B., Padhi,S., Singh,V.",2021-07-13,CCTLV-1/USA/MN/2018,Common carp toti-like virus 1,,Totiviridae,dsRNA,640,GenBank,,,,RNA-dependent RNA polymerase,USA,USA,,Cyprinus carpio,"kidney, abdominal cavity",2018-07,,,RNA-dependent RNA polymerase [Common carp toti-like virus 1]
QXJ19455,Common carp toti-like virus 1,,MW893686,,"Sandlund,L., Mor,S.K., Singh,V.K., Padhi,S.K., Phelps,N.B.D., Nylund,S., Mikalsen,A.B., Padhi,S., Singh,V.",2021-07-13,CCTLV-1/USA/MN/2018,Common carp toti-like virus 1,,Totiviridae,dsRNA,375,GenBank,,,,structural protein,USA,USA,,Cyprinus carpio,"kidney, abdominal cavity",2018-07,,,structural protein [Common carp toti-like virus 1]
QVT76731,Bemisia tabaci toti-like virus 1,,MW227222,,"Huang,H.J., Ye,Z.X., Wang,X., Yan,X.T., Zhang,Y., He,Y.J., Qi,Y.H., Zhang,X.D., Zhuo,J.C., Lu,G., Lu,J.B., Mao,Q.Z., Sun,Z.T., Yan,F., Chen,J.P., Zhang,C.X., Li,J.M., Huang,H.-J., Li,J.-M.",2021-05-29,B,Bemisia tabaci toti-like virus 1,,Totiviridae,dsRNA,817,GenBank,,,1,Parp,China,China,,Bemisia tabaci,,2019-10-01,,,Parp [Bemisia tabaci toti-like virus 1]
QVT76732,Bemisia tabaci toti-like virus 1,,MW227222,,"Huang,H.J., Ye,Z.X., Wang,X., Yan,X.T., Zhang,Y., He,Y.J., Qi,Y.H., Zhang,X.D., Zhuo,J.C., Lu,G., Lu,J.B., Mao,Q.Z., Sun,Z.T., Yan,F., Chen,J.P., Zhang,C.X., Li,J.M., Huang,H.-J., Li,J.-M.",2021-05-29,B,Bemisia tabaci toti-like virus 1,,Totiviridae,dsRNA,1105,GenBank,,,1,RdRp,China,China,,Bemisia tabaci,,2019-10-01,,,RdRp [Bemisia tabaci toti-like virus 1]
QVT76733,Bemisia tabaci toti-like virus 2,,MW227223,,"Huang,H.J., Ye,Z.X., Wang,X., Yan,X.T., Zhang,Y., He,Y.J., Qi,Y.H., Zhang,X.D., Zhuo,J.C., Lu,G., Lu,J.B., Mao,Q.Z., Sun,Z.T., Yan,F., Chen,J.P., Zhang,C.X., Li,J.M., Huang,H.-J., Li,J.-M.",2021-05-29,Q,Bemisia tabaci toti-like virus 2,,Totiviridae,dsRNA,1123,GenBank,,,1,Parp,China,China,,Bemisia tabaci,,2019-10-01,,,Parp [Bemisia tabaci toti-like virus 2]
QVT76734,Bemisia tabaci toti-like virus 2,,MW227223,,"Huang,H.J., Ye,Z.X., Wang,X., Yan,X.T., Zhang,Y., He,Y.J., Qi,Y.H., Zhang,X.D., Zhuo,J.C., Lu,G., Lu,J.B., Mao,Q.Z., Sun,Z.T., Yan,F., Chen,J.P., Zhang,C.X., Li,J.M., Huang,H.-J., Li,J.-M.",2021-05-29,Q,Bemisia tabaci toti-like virus 2,,Totiviridae,dsRNA,1320,GenBank,,,1,RdRp,China,China,,Bemisia tabaci,,2019-10-01,,,RdRp [Bemisia tabaci toti-like virus 2]
QUP79365,Caloscypha fulgens fusagravirus 1,,MW258947,,"Sahin,E., Akata,I., Keskin,E.",2021-05-08,ANK VIR-100,Caloscypha fulgens fusagravirus 1,,,dsRNA,1459,GenBank,,,,structural protein,Turkey,Turkey,,Caloscypha fulgens,,2020-04-28,,,structural protein [Caloscypha fulgens fusagravirus 1]
QUP79366,Caloscypha fulgens fusagravirus 1,,MW258947,,"Sahin,E., Akata,I., Keskin,E.",2021-05-08,ANK VIR-100,Caloscypha fulgens fusagravirus 1,,,dsRNA,1175,GenBank,,,,RNA-dependent RNA polymerase,Turkey,Turkey,,Caloscypha fulgens,,2020-04-28,,,RNA-dependent RNA polymerase [Caloscypha fulgens fusagravirus 1]
QUE40493,Conidiobolus heterosporus totivirus 1,,MW249058,,"Qu,J., Shi,N., Yang,G., Huang,B.",2021-04-28,,Conidiobolus heterosporus totivirus 1,,Totiviridae,dsRNA,681,GenBank,,,1,coat protein,China: Shandong Province,China,,Capillidium heterosporum,,2009-03-20,,,coat protein [Conidiobolus heterosporus totivirus 1]
