	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A10037_length_737_cov_2.100000_BlackFly3	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	uncultured Caudovirales phage
NODE_A1004_length_869_cov_3.483586_BlackFly28	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Psychrobacter phage D'Alembert
NODE_A1006_length_762_cov_2.235036_BlackFly21	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	unclassified
NODE_A1007_length_722_cov_4.936434_BlackFly10	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A10096_length_957_cov_2.681818_BlackFly34	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	Sclerotimonavirus	Sclerotimonavirus botrytidis
NODE_A100_length_1540_cov_23.062201_BlackFly22	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	unclassified
NODE_A100_length_1740_cov_280.728803_BlackFly38	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Plasmopara viticola lesion associated Partitivirus 4
NODE_A100_length_1813_cov_16.844470_BlackFly35	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Corynespora cassiicola bipartite mycovirus 1
NODE_A100_length_1882_cov_4.090859_BlackFly20	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteriophage sp.
NODE_A100_length_2130_cov_19.734535_BlackFly39	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Lichen partiti-like RNA virus sp.
NODE_A100_length_3112_cov_16.213180_BlackFly23	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	unclassified
NODE_A100_length_3433_cov_2.458284_BlackFly3	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	unclassified	Phenacoccus solenopsis nudivirus
NODE_A100_length_4012_cov_931.241931_BlackFly28	Viruses	Lenarviricota	Leviviricetes	Norzivirales	Fiersviridae	unclassified	Leviviridae sp.
NODE_A10110_length_567_cov_2.375510_BlackFly18	Viruses	Preplasmiviricota	Polintoviricetes	Orthopolintovirales	Adintoviridae	unclassified	unclassified
NODE_A1011_length_605_cov_2.871212_BlackFly44	Viruses	unclassified	unclassified	unclassified	Polymycoviridae	Polymycovirus	Erysiphe necator associated polymycovirus 4
NODE_A1011_length_704_cov_3.411483_BlackFly53	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Petsuvirus	unclassified
NODE_A1011_length_721_cov_1.605590_BlackFly12	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified	Erysiphe necator associated partitivirus 10
NODE_A1012_length_720_cov_1.488336_BlackFly12	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Gammapartitivirus sp.
NODE_A10148_length_688_cov_1.549918_BlackFly19	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Caudoviricetes sp.
NODE_A10160_length_617_cov_1.211111_BlackFly36	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Fusariviridae	Alphafusarivirus	Alphafusarivirus zymoseptoriae
NODE_A1016_length_1025_cov_0.989451_BlackFly31	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	unclassified	Botourmiaviridae sp.
NODE_A1016_length_648_cov_3.266200_BlackFly6	Viruses	Uroviricota	Caudoviricetes	unclassified	unclassified	Obolenskvirus	unclassified
